epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,4.3361955857744405,8.72549019607843,3.1376889845904183,39.01960784313726,0.0001
2,2.379487169490141,51.76470588235294,1.1739474649522819,77.25490196078431,0.0001
3,1.1481975819550307,78.62745098039215,0.6343739324924993,85.7843137254902,0.0001
4,0.619693964953516,88.23529411764706,0.4231923041390438,90.68627450980392,0.0001
5,0.4276273400175805,92.74509803921569,0.3711810150567223,90.09803921568627,0.0001
6,0.3355250180936327,94.11764705882354,0.31633351456885245,92.25490196078431,0.0001
7,0.28489664208655263,94.90196078431373,0.34267910467643364,90.68627450980392,0.0001
8,0.2775814563620324,95.0,0.3012077721310597,92.74509803921569,0.0001
9,0.2744359368787092,94.6078431372549,0.2862002623431823,92.54901960784314,0.0001
10,0.2252120790528316,95.58823529411765,0.2880495350150501,93.43137254901961,0.0001
11,0.1914053859371765,96.76470588235294,0.2305768212851356,94.01960784313725,0.0001
12,0.16112770742061092,96.86274509803921,0.2900230628602645,92.25490196078431,0.0001
13,0.21090856159434598,95.0,0.27365491924916996,92.6470588235294,0.0001
14,0.2003465611560672,95.98039215686275,0.2897428695039422,92.74509803921569,0.0001
15,0.15166655904522128,97.15686274509804,0.252009729266751,93.03921568627452,0.0001
16,0.15220926030009402,96.66666666666667,0.2628069767472791,92.6470588235294,0.0001
17,0.1136521099244847,97.94117647058823,0.23215625855122127,93.43137254901961,0.0001
18,0.14950181836006687,97.05882352941177,0.23693707859983631,94.11764705882354,0.0001
19,0.1564760784015936,96.47058823529412,0.26046036207208445,92.94117647058823,0.0001
20,0.14981718202139818,96.56862745098039,0.23648685292870392,93.52941176470588,0.0001
21,0.1266409982799315,97.6470588235294,0.27075178193695404,92.94117647058823,0.0001
22,0.12793382119898702,97.3529411764706,0.2674731912237464,93.23529411764706,0.0001
23,0.17945266531086435,95.7843137254902,0.24461788138484253,93.82352941176471,0.0001
24,0.11043320670723915,97.6470588235294,0.22710396822030637,94.31372549019608,0.0001
25,0.11997131701631873,97.05882352941177,0.2534984522115658,93.72549019607843,0.0001
26,0.13617276128600625,97.05882352941177,0.2540900136033694,92.84313725490196,0.0001
27,0.11764152318823572,97.15686274509804,0.2282968859151736,93.23529411764706,0.0001
28,0.10018625085552534,97.84313725490196,0.25438408959729997,93.72549019607843,0.0001
29,0.10526302731504628,97.84313725490196,0.23048671836800436,94.50980392156863,0.0001
30,0.1011995777341665,98.43137254901961,0.2153090174437738,94.2156862745098,0.0001
