epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,4.388506349862791,8.823529411764707,3.231812864191392,27.058823529411764,0.0001
2,2.635227528740378,40.19607843137255,1.7405389519883137,60.78431372549019,0.0001
3,1.3888311493630503,71.47058823529412,1.0401081437865893,77.45098039215686,0.0001
4,0.8663046522467744,82.45098039215686,0.7853105598220638,84.11764705882354,0.0001
5,0.587029251280953,88.43137254901961,0.6084636663981512,87.6470588235294,0.0001
6,0.4410977306611398,91.37254901960785,0.5643153626763937,86.47058823529412,0.0001
7,0.3368278743881805,93.13725490196079,0.48541955808360204,90.0,0.0001
8,0.3030961506799156,95.0,0.42119907801057777,90.49019607843137,0.0001
9,0.23783515973710545,95.58823529411765,0.3936435230587627,90.58823529411765,0.0001
10,0.26377172475936367,94.6078431372549,0.45357271066556376,88.72549019607843,0.0001
11,0.2030365377080207,95.49019607843137,0.5036520951811005,87.25490196078431,0.0001
12,0.3018922953775116,93.43137254901961,0.4253204359545135,89.2156862745098,0.0001
13,0.2084418759407366,95.58823529411765,0.43024108967944685,90.0,0.0001
14,0.20122653056739592,95.19607843137256,0.448621062656828,89.2156862745098,0.0001
15,0.19100564259524438,96.17647058823529,0.3821986543124213,90.19607843137256,0.0001
16,0.19923326221166873,95.49019607843137,0.3681612736216801,91.27450980392157,0.0001
17,0.1688754235777785,96.37254901960785,0.47662179862678633,87.74509803921569,0.0001
18,0.15701497023669528,96.66666666666667,0.4354639317548158,89.11764705882354,0.0001
19,0.18746415681260473,95.98039215686275,0.4658246669845254,88.03921568627452,0.0001
20,0.18506889049986414,95.19607843137256,0.44621897801190763,87.84313725490196,0.0001
21,0.19511948322110317,95.88235294117646,0.3753004695690584,90.3921568627451,0.0001
22,0.15188419640283374,96.47058823529412,0.48196722002626924,87.6470588235294,0.0001
23,0.20199096298173946,95.29411764705883,0.46382660452714736,87.74509803921569,0.0001
24,0.1816665002455314,95.98039215686275,0.4748655123663518,87.54901960784314,0.0001
25,0.15200229284956174,95.98039215686275,0.42526626772265513,88.92156862745098,0.0001
26,0.15859058814890245,96.76470588235294,0.41105180110818906,90.29411764705883,0.0001
27,0.1825580880228503,95.0,0.4864304028734492,87.94117647058823,0.0001
28,0.21061882021124748,95.49019607843137,0.44994882465906294,88.52941176470588,0.0001
29,0.15858718871924224,96.66666666666667,0.3947301605049813,90.19607843137256,0.0001
30,0.1326900420655661,97.25490196078431,0.35965558562939076,90.0,0.0001
