epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,4.520988415736778,5.294117647058823,3.664150925243602,24.80392156862745,0.0001;0.001
2,3.539756664575315,28.137254901960784,2.582078708386889,41.76470588235294,0.0001;0.001
3,2.6125894256666595,44.21568627450981,1.9717417198068956,55.19607843137255,0.0001;0.001
4,1.992022248810413,56.372549019607845,1.5987201302659277,62.05882352941177,0.0001;0.001
5,1.436738746773963,68.23529411764706,1.2278653771269554,69.50980392156863,0.0001;0.001
6,1.1536518791142631,73.92156862745098,1.0441001127747929,73.33333333333333,0.0001;0.001
7,0.8362260998464098,82.54901960784314,0.8645335837906483,78.23529411764706,0.0001;0.001
8,0.7309887404535331,83.43137254901961,0.8478554281533933,77.25490196078431,0.0001;0.001
9,0.6049966793434293,85.88235294117646,0.7134737413303525,81.76470588235294,0.0001;0.001
10,0.5333678556423561,88.03921568627452,0.6834989640058255,81.66666666666667,0.0001;0.001
11,0.4573149571231767,88.72549019607843,0.6028087422543881,83.43137254901961,0.0001;0.001
12,0.39879159974116907,91.66666666666667,0.6919313181264728,81.47058823529412,0.0001;0.001
13,0.36992156610769383,91.86274509803921,0.5843490274513469,84.80392156862744,0.0001;0.001
14,0.33169551877414477,91.56862745098039,0.5330603484429565,85.88235294117646,0.0001;0.001
15,0.311221536526493,93.23529411764706,0.5223004189776439,85.7843137254902,0.0001;0.001
16,0.3423454913438535,92.54901960784314,0.5577957958567377,85.3921568627451,0.0001;0.001
17,0.23750349370872273,94.70588235294117,0.5539402079348471,85.3921568627451,0.0001;0.001
18,0.25923121267674015,93.82352941176471,0.5849626919510318,85.49019607843137,0.0001;0.001
19,0.26148447511242884,92.84313725490196,0.5574459506016152,84.90196078431373,0.0001;0.001
20,0.24587745800906535,94.41176470588235,0.5599925873910679,84.50980392156863,0.0001;0.001
21,0.2514126280943553,93.72549019607843,0.46702133241821736,87.94117647058823,0.0001;0.001
22,0.22302403017586353,94.80392156862744,0.5513259430726369,86.07843137254902,0.0001;0.001
23,0.2246738746470096,94.01960784313725,0.467096421882218,86.96078431372548,0.0001;0.001
24,0.24609366231689267,94.41176470588235,0.5382929975787799,87.15686274509804,0.0001;0.001
25,0.25000874430817716,94.41176470588235,0.5461653097003114,86.56862745098039,0.0001;0.001
26,0.22274136011506998,94.6078431372549,0.5310176153393352,86.96078431372548,0.0001;0.001
27,0.22664205358893263,94.31372549019608,0.5168057257346078,88.23529411764706,0.0001;0.001
28,0.21720844746804704,93.82352941176471,0.5282416340767169,86.17647058823529,0.0001;0.001
29,0.17943837277445138,95.19607843137256,0.5658209206426845,87.15686274509804,0.0001;0.001
30,0.1542163044798608,96.27450980392157,0.6566782305711041,83.43137254901961,0.0001;0.001
