epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,4.3645582292594165,11.372549019607844,3.0934403858932793,45.294117647058826,0.0001;0.001
2,2.914927231096754,48.431372549019606,1.9590832537295773,60.0,0.0001;0.001
3,1.9736316521962485,62.84313725490196,1.3388032242363574,74.2156862745098,0.0001;0.001
4,1.3520611912596459,74.90196078431373,0.9807413809439716,80.49019607843137,0.0001;0.001
5,0.9577444039139094,83.13725490196079,0.7857873445632411,84.41176470588235,0.0001;0.001
6,0.7606226710712208,86.66666666666667,0.6699253488989437,85.0,0.0001;0.001
7,0.5633828888921176,89.50980392156863,0.5503483365563785,88.03921568627452,0.0001;0.001
8,0.4663017516042672,90.68627450980392,0.5277654194364361,87.74509803921569,0.0001;0.001
9,0.38594674012240243,92.54901960784314,0.4619445901291043,89.70588235294117,0.0001;0.001
10,0.3151495714982351,93.92156862745098,0.44278048989819546,89.31372549019608,0.0001;0.001
11,0.2686493215607662,94.2156862745098,0.4604052166144053,88.52941176470588,0.0001;0.001
12,0.2867500083703621,93.82352941176471,0.4184463282718378,89.6078431372549,0.0001;0.001
13,0.27507708031757205,93.72549019607843,0.4239749878060584,88.52941176470588,0.0001;0.001
14,0.256691827785735,93.62745098039215,0.40573383032106886,88.82352941176471,0.0001;0.001
15,0.21950147654495988,95.3921568627451,0.39801819897165486,89.70588235294117,0.0001;0.001
16,0.22623182862412697,95.09803921568627,0.39040272136529286,90.68627450980392,0.0001;0.001
17,0.22776583509117948,94.31372549019608,0.4265316141002318,88.03921568627452,0.0001;0.001
18,0.22875014742215474,93.33333333333333,0.4382780577622208,88.72549019607843,0.0001;0.001
19,0.189606241385142,95.98039215686275,0.3999918917230531,89.70588235294117,0.0001;0.001
20,0.16987638271906796,96.86274509803921,0.39160800003537943,90.29411764705883,0.0001;0.001
21,0.160916203844781,96.56862745098039,0.3699279474569302,90.0,0.0001;0.001
22,0.14914046251306348,96.56862745098039,0.3579862991822701,90.7843137254902,0.0001;0.001
23,0.18298181155148674,95.29411764705883,0.42184041434643316,90.0,0.0001;0.001
24,0.17560468295625611,95.58823529411765,0.40302606406165103,89.90196078431373,0.0001;0.001
25,0.18039029240608215,95.29411764705883,0.4102418789676591,89.70588235294117,0.0001;0.001
26,0.13976469463577457,96.47058823529412,0.37011333692307563,90.3921568627451,0.0001;0.001
27,0.17495974313979054,96.17647058823529,0.3815459002466763,90.19607843137256,0.0001;0.001
28,0.1697793673066532,96.27450980392157,0.38840744720370163,89.70588235294117,0.0001;0.001
29,0.16678175189915825,95.58823529411765,0.39528901097821256,89.41176470588235,0.0001;0.001
30,0.16286291065169314,95.3921568627451,0.4108632418454862,88.72549019607843,0.0001;0.001
