epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,4.5897740850261615,3.0392156862745097,4.268334936628155,13.333333333333334,0.0001;0.001
2,4.10229390742732,18.92156862745098,3.6120168274524165,30.686274509803923,0.0001;0.001
3,3.4034282357084984,30.980392156862745,2.7412452978246353,42.05882352941177,0.0001;0.001
4,2.630153896294388,42.549019607843135,2.1717571655909222,49.509803921568626,0.0001;0.001
5,2.004251012615129,55.3921568627451,1.6723293797642578,59.705882352941174,0.0001;0.001
6,1.6060686667760213,62.05882352941177,1.389995161224814,66.76470588235294,0.0001;0.001
7,1.2071839914602391,70.58823529411765,1.24087836672278,67.15686274509804,0.0001;0.001
8,0.9966093315797694,76.47058823529412,1.0638878756878423,73.33333333333333,0.0001;0.001
9,0.822798760732015,80.09803921568627,0.9516537536593045,76.17647058823529,0.0001;0.001
10,0.7259454453692716,82.15686274509804,1.0167178467208264,74.31372549019608,0.0001;0.001
11,0.5925282920108123,85.49019607843137,0.8911562026715746,77.54901960784314,0.0001;0.001
12,0.5245187671745525,87.25490196078431,0.8846173468758078,77.54901960784314,0.0001;0.001
13,0.44484667748797174,89.70588235294117,0.8866633098499448,77.25490196078431,0.0001;0.001
14,0.48219351020513795,89.01960784313725,0.7148883419878342,81.56862745098039,0.0001;0.001
15,0.38225721488980685,91.37254901960785,0.7550611715106403,81.17647058823529,0.0001;0.001
16,0.31528144572295397,93.23529411764706,0.728896137955142,80.88235294117646,0.0001;0.001
17,0.3481071731623481,91.27450980392157,0.7528283603051129,79.90196078431373,0.0001;0.001
18,0.331667560338974,90.98039215686275,0.6976498538372563,82.25490196078431,0.0001;0.001
19,0.33421976297509437,92.25490196078431,0.6511501934014114,82.45098039215686,0.0001;0.001
20,0.3074905967011171,92.3529411764706,0.6699216696269372,82.25490196078431,0.0001;0.001
21,0.22744364937146505,94.50980392156863,0.6208529145109887,84.11764705882354,0.0001;0.001
22,0.2284415003715777,94.70588235294117,0.6187433886761758,83.92156862745098,0.0001;0.001
23,0.2644386900990617,93.13725490196079,0.6476885259735818,84.2156862745098,0.0001;0.001
24,0.2398848540058323,94.01960784313725,0.621933032952103,85.29411764705883,0.0001;0.001
25,0.28452584100704564,93.13725490196079,0.6268853663229474,83.72549019607843,0.0001;0.001
26,0.2035143159475981,95.58823529411765,0.6358310102247724,83.82352941176471,0.0001;0.001
27,0.23277237006262236,93.03921568627452,0.6925639247193056,82.25490196078431,0.0001;0.001
28,0.23111908704626793,94.11764705882354,0.5935343239091191,84.2156862745098,0.0001;0.001
29,0.21839282243859534,95.0,0.7285500549802593,81.66666666666667,0.0001;0.001
30,0.2607187776004567,93.43137254901961,0.6648616757755186,82.54901960784314,0.0001;0.001
