task_name,model,attention_type,initialization,pretrained,epochs,batch_size,backbone_lr,classifier_lr,lr,optimizer,weight_decay,best_val_acc,test_acc,test_loss,final_train_acc,final_val_acc,final_train_loss,final_val_loss,best_epoch,device,seed,status,output_folder
task1_baseline,resnet18,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,92.15686274509804,89.85200845665962,0.3883585072491166,96.86274509803921,91.66666666666667,0.13224561652716468,0.32948167478190915,23,mps,42,ok,task1_resnet18
task1_baseline,resnet34,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,91.76470588235294,89.64059196617336,0.4278958703756725,95.68627450980392,91.17647058823529,0.1475096446334147,0.38650848377569047,7,mps,42,ok,task1_resnet34
task2_hparam,resnet18,none,pretrained,True,10,32,0.0001,0.001,,adamw,0.0001,91.17647058823529,89.18523337127988,0.4721385388500149,94.70588235294117,91.17647058823529,0.259784596340329,0.39608091118873334,10,mps,42,ok,task2_resnet18_epoch10_blr1e-4_clr1e-3_bs32
task2_hparam,resnet18,none,pretrained,True,30,16,0.0001,0.001,,adamw,0.0001,91.76470588235294,87.39632460562693,0.5228666597012674,94.80392156862744,89.90196078431373,0.20255474243678298,0.4404856855981052,27,mps,42,ok,task2_resnet18_epoch30_blr1e-4_clr1e-3_bs16
task2_hparam,resnet18,none,pretrained,True,30,32,1e-05,0.0001,,adamw,0.0001,89.2156862745098,85.5911530330135,0.9258225155683198,91.66666666666667,88.82352941176471,0.8187286016987819,0.7909275729282229,28,mps,42,ok,task2_resnet18_epoch30_blr1e-5_clr1e-4_bs32
task2_hparam,resnet18,none,pretrained,True,30,32,5e-05,0.0005,,adamw,0.0001,94.11764705882354,90.61636038380225,0.4019298044363984,97.6470588235294,93.13725490196079,0.138932338941331,0.3178270608917171,24,mps,42,ok,task2_resnet18_epoch30_blr5e-5_clr5e-4_bs32
task2_hparam,resnet18,none,pretrained,True,30,32,0.0001,0.001,,adamw,0.0001,92.15686274509804,89.85200845665962,0.3883585072491166,96.86274509803921,91.66666666666667,0.13224561652716468,0.32948167478190915,23,mps,42,ok,task2_resnet18_epoch30_blr1e-4_clr1e-3_bs32
task2_hparam,resnet18,none,pretrained,True,30,32,0.0002,0.002,,adamw,0.0001,89.31372549019608,85.63994145389495,0.6197399225268937,93.92156862745098,85.49019607843137,0.215784568529503,0.6808035992706816,24,mps,42,ok,task2_resnet18_epoch30_blr2e-4_clr2e-3_bs32
task2_hparam,resnet18,none,pretrained,True,50,32,0.0001,0.001,,adamw,0.0001,92.25490196078431,89.73816880793625,0.41225721859757103,97.15686274509804,89.11764705882354,0.1131032170326102,0.396751459074371,32,mps,42,ok,task2_resnet18_epoch50_blr1e-4_clr1e-3_bs32
task2_hparam,resnet34,none,pretrained,True,10,32,0.0001,0.001,,adamw,0.0001,91.76470588235294,89.64059196617336,0.4278958703756725,94.50980392156863,90.09803921568627,0.23903429543270785,0.4282018257706773,7,mps,42,ok,task2_resnet34_epoch10_blr1e-4_clr1e-3_bs32
