epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,4.244683437721402,16.470588235294116,2.2232617296424566,52.450980392156865,0.0001;0.001
2,2.0893486247343174,58.92156862745098,1.1390578086469687,75.7843137254902,0.0001;0.001
3,1.211969560735366,76.07843137254902,0.7448704545404397,81.56862745098039,0.0001;0.001
4,0.8650070631036572,83.03921568627452,0.5943443209809416,86.17647058823529,0.0001;0.001
5,0.6229603490408729,88.92156862745098,0.458750656992197,89.80392156862744,0.0001;0.001
6,0.49759419209816874,90.98039215686275,0.47073080772716624,89.6078431372549,0.0001;0.001
7,0.42200288573900857,91.86274509803921,0.3891041288407994,90.88235294117646,0.0001;0.001
8,0.33843214196317334,93.03921568627452,0.3766196830234691,90.19607843137256,0.0001;0.001
9,0.3501732271091611,91.86274509803921,0.4003165831460672,90.3921568627451,0.0001;0.001
10,0.2835294724679461,93.92156862745098,0.37212283314735284,90.68627450980392,0.0001;0.001
11,0.3061761343011669,92.74509803921569,0.38740328529520945,89.41176470588235,0.0001;0.001
12,0.3190560012471442,92.54901960784314,0.37030787179794383,91.07843137254902,0.0001;0.001
13,0.25150548158323066,93.92156862745098,0.39661357649875917,89.41176470588235,0.0001;0.001
14,0.21739618480205536,94.90196078431373,0.36229192323106174,90.3921568627451,0.0001;0.001
15,0.21799203957997115,95.19607843137256,0.38850774001330135,90.29411764705883,0.0001;0.001
16,0.2169069800306769,94.6078431372549,0.3830625893182906,90.68627450980392,0.0001;0.001
17,0.26084161091084573,93.92156862745098,0.3813409735941712,91.37254901960785,0.0001;0.001
18,0.18204616755247116,96.17647058823529,0.4374009085326072,89.31372549019608,0.0001;0.001
19,0.23735205529659403,94.11764705882354,0.46690098779714284,89.2156862745098,0.0001;0.001
20,0.252630887794144,94.31372549019608,0.3960614785789421,91.07843137254902,0.0001;0.001
21,0.2476354523324499,94.01960784313725,0.43614161563671977,89.31372549019608,0.0001;0.001
22,0.2477395652409862,94.50980392156863,0.3684651558068307,90.19607843137256,0.0001;0.001
23,0.21322126680729436,95.0,0.35573734799765194,90.7843137254902,0.0001;0.001
24,0.21422986261108343,94.80392156862744,0.39790007169997577,88.62745098039215,0.0001;0.001
25,0.18954437643873925,94.80392156862744,0.36225359551243336,90.49019607843137,0.0001;0.001
26,0.19659499412073808,95.29411764705883,0.38481267125290985,91.17647058823529,0.0001;0.001
27,0.19168599144208665,94.50980392156863,0.36031140344692214,91.76470588235294,0.0001;0.001
28,0.18539219405136856,95.09803921568627,0.4058468535031174,90.7843137254902,0.0001;0.001
29,0.15093334088576774,96.17647058823529,0.3780818080207716,89.6078431372549,0.0001;0.001
30,0.20255474243678298,94.80392156862744,0.4404856855981052,89.90196078431373,0.0001;0.001
