epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,4.13201249814501,18.725490196078432,2.0472891587837068,50.3921568627451,0.0002;0.002
2,1.6803352790720323,63.92156862745098,0.9460842062445248,78.62745098039215,0.0002;0.002
3,0.8876528235042797,80.49019607843137,0.7015866802019232,81.96078431372548,0.0002;0.002
4,0.6488147822080874,85.49019607843137,0.6318846613460896,84.2156862745098,0.0002;0.002
5,0.48874642895717246,88.62745098039215,0.4951044667000864,87.84313725490196,0.0002;0.002
6,0.4012856461253821,92.25490196078431,0.5554766718079062,84.90196078431373,0.0002;0.002
7,0.3594076098180285,91.56862745098039,0.45411609831978295,87.84313725490196,0.0002;0.002
8,0.28247005916109275,92.84313725490196,0.4802763819694519,87.45098039215686,0.0002;0.002
9,0.3094932567839529,92.45098039215686,0.44927897827298036,88.72549019607843,0.0002;0.002
10,0.26213677770951216,93.03921568627452,0.5057107481302,86.47058823529412,0.0002;0.002
11,0.3066182410015779,92.6470588235294,0.5542351405994564,84.50980392156863,0.0002;0.002
12,0.35756073798619065,90.09803921568627,0.5363718686734928,86.07843137254902,0.0002;0.002
13,0.2634340247102812,92.6470588235294,0.43578387966343,88.82352941176471,0.0002;0.002
14,0.23232434698764015,94.11764705882354,0.5058423639512529,86.66666666666667,0.0002;0.002
15,0.23762727321362964,93.52941176470588,0.46032642663693896,88.13725490196079,0.0002;0.002
16,0.2665600251917746,91.96078431372548,0.5004270706690994,88.43137254901961,0.0002;0.002
17,0.30966156019883995,91.96078431372548,0.5659208739505095,85.3921568627451,0.0002;0.002
18,0.23295142059670945,94.01960784313725,0.6065054762597177,85.0,0.0002;0.002
19,0.24397095605438832,93.03921568627452,0.6801256500038446,80.88235294117646,0.0002;0.002
20,0.2802657622186577,92.6470588235294,0.5461676095630609,86.07843137254902,0.0002;0.002
21,0.27447851434642195,93.43137254901961,0.5003364978467717,86.07843137254902,0.0002;0.002
22,0.22931525707244874,94.11764705882354,0.5597831381302254,86.96078431372548,0.0002;0.002
23,0.21145309998708614,94.41176470588235,0.4710152654963381,88.33333333333333,0.0002;0.002
24,0.20501842896143596,94.2156862745098,0.4348755623780045,89.31372549019608,0.0002;0.002
25,0.17338886310656865,95.3921568627451,0.5107529997241264,86.86274509803921,0.0002;0.002
26,0.24740019183532863,93.33333333333333,0.5588442977152619,86.66666666666667,0.0002;0.002
27,0.21382574678636065,93.92156862745098,0.5093648946752736,86.96078431372548,0.0002;0.002
28,0.24631208380063374,93.52941176470588,0.6140439580468571,85.98039215686275,0.0002;0.002
29,0.27507758631425744,92.45098039215686,0.659958992255669,84.41176470588235,0.0002;0.002
30,0.215784568529503,93.92156862745098,0.6808035992706816,85.49019607843137,0.0002;0.002
